Complexity,Loss,Equation
1,41.00083,"0.078840435"
3,34.145176,"0.03766172 ^ x"
5,33.188637,"(0.03377934 ^ x) - 1.0049138"
6,30.28353,"tan(x * (x / 0.120042086))"
8,28.908455,"x * (tan(x * 2.0976624) / 2.9868004)"
9,28.90726,"tan(2.0976624 * x) * sin(x / 2.9868004)"
10,28.695415,"x * ((tan(x * 2.0976624) / 2.9868004) + x)"
11,28.566431,"(tan(x) + (tan(x * 2.0976624) / 2.9868004)) * x"
12,26.095331,"tan(tan(x * -143.09894)) + exp((x / -0.42087477) - x)"
13,25.341515,"tan(tan(((55.347134 / x) / -5.56809) + (x * -133.15887))) - x"
14,24.733204,"tan(tan(((55.347134 / x) / -5.568089) + (-133.15887 * x))) / cos(x)"
15,24.4111,"(tan(tan(((55.347134 / x) / -5.568089) + (x * -133.15887))) - x) + 1.1546687"
16,23.54505,"(tan(tan(((55.347126 / x) / -5.5680904) + (x * -133.15887))) - x) / cos(x)"
17,23.526304,"(tan(tan(((55.347134 / x) / -5.568089) + (-133.15887 * x))) - tan(x)) / cos(x)"
18,22.528135,"((tan(tan(((55.347134 / x) / -5.568089) + (-133.15887 * x))) - x) / cos(x)) - -1.1826634"
20,22.213068,"tan(tan(((55.347134 / x) / -5.568089) + (-133.15887 * x))) + (cos(1.1448361 + (1.2376769 / x)) / 0.64917576)"
